"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"1",0,0,0,0,0,0,0,0,0,0,5
"4",0,0,0,0,0,0,0,0,0,0,2
"6",0,0,0,0,0,0,0,4,0,0,2
"7",0,1,0,0,0,0,0,0,0,0,1
"10",0,0,0,0,0,0,0,0,0,0,2
"11",0,0,0,0,0,0,0,0,1,0,14
"13",0,0,0,0,0,0,0,0,0,0,5
"16",13,0,0,0,0,0,0,0,0,0,9
"17",0,0,0,0,2,0,0,0,0,0,1
"18",0,0,0,0,0,26,0,0,0,0,0
"19",0,0,0,0,0,0,0,5,0,0,13
"22",0,0,0,0,0,0,0,5,0,0,9
"23",0,0,0,0,0,0,0,0,0,0,2
"24",0,0,0,0,0,0,0,3,3,0,0
"25",0,0,0,0,0,0,0,0,0,0,2
"26",0,0,0,0,0,0,0,8,0,0,4
"28",0,0,0,0,0,0,0,0,0,0,2
"29",0,0,0,0,0,0,0,0,0,0,2
"30",0,0,0,0,0,0,1,0,0,0,5
"31",0,0,0,0,0,0,0,0,0,0,6
"33",0,0,0,0,0,0,0,0,0,0,2
"34",0,0,0,0,0,0,0,0,0,0,2
"35",0,0,0,0,0,0,0,1,0,0,6
"36",0,0,0,0,0,0,0,0,0,0,2
"38",0,0,0,0,0,0,0,0,0,0,9
"39",0,0,0,0,0,0,0,7,1,0,10
"40",0,0,0,0,0,0,0,0,1,0,4
"41",0,0,0,0,0,0,0,0,0,0,3
"43",0,0,0,0,0,0,0,0,0,0,6
"44",1,0,0,0,0,0,0,0,0,0,7
"45",0,0,0,0,0,0,0,0,0,0,5
"46",0,0,0,0,0,0,0,4,0,0,6
"47",0,0,0,0,0,0,0,0,0,0,3
"50",0,0,0,0,0,0,0,7,0,0,5
"51",0,0,0,0,0,0,0,0,4,0,2
"52",0,0,0,0,0,0,0,0,3,0,3
"54",11,0,0,0,0,0,0,0,0,0,1
"55",0,0,0,0,0,0,0,8,0,0,7
"56",0,0,0,0,0,0,0,0,2,0,0
"58",0,0,0,0,0,0,0,0,0,0,7
"60",0,0,0,0,0,0,0,2,0,0,1
"61",0,0,0,0,0,0,0,0,0,0,11
"62",2,0,0,0,0,0,0,0,0,0,1
"63",0,0,0,0,0,0,0,0,0,0,4
"64",0,0,0,0,0,0,0,0,0,0,6
"65",0,0,0,0,0,0,0,0,0,0,7
"66",0,0,0,0,0,0,0,0,0,0,4
"69",0,0,0,0,2,0,0,0,0,0,4
"71",0,0,0,0,0,0,0,0,0,0,2
"73",0,0,0,0,0,0,0,0,2,0,3
"75",0,0,0,0,0,0,0,0,0,0,2
"76",0,0,0,0,0,0,0,0,0,0,2
"78",0,0,0,0,2,0,0,0,0,0,1
"79",0,0,0,0,0,0,0,0,0,0,2
"80",0,0,0,0,0,0,0,0,0,0,2
"82",0,0,0,0,0,0,0,0,0,0,10
"84",0,0,0,0,0,0,0,0,0,0,4
"86",0,0,0,0,0,0,0,0,0,0,3
"87",0,0,0,0,0,0,0,0,0,0,2
"89",0,0,0,0,0,0,0,0,0,0,18
"91",7,0,0,0,0,0,0,0,0,0,3
"92",0,0,0,0,0,0,0,0,0,0,2
"93",0,0,0,0,0,0,0,0,1,0,1
"94",0,0,0,0,0,0,0,0,6,0,6
"95",0,0,0,0,0,0,0,0,0,0,3
"97",0,0,0,0,0,0,0,3,0,0,3
"98",0,0,0,0,0,0,0,0,0,0,2
"99",0,0,0,0,0,0,0,0,3,0,9
