"","Baso_lk","Ccr7DC_lk","Eos_lk","Erythroid_lk","Lymphoid_lk","Mast_lk","Meg_lk","Monocyte_lk","Neutrophil_lk","pDC_lk","Undifferentiated_lk","Baso_lsk","Ccr7DC_lsk","Eos_lsk","Erythroid_lsk","Lymphoid_lsk","Mast_lsk","Meg_lsk","Monocyte_lsk","Neutrophil_lsk","pDC_lsk","Undifferentiated_lsk"
"1_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"10_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"100 _lk",0,0,0,0,0,1,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0
"100_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1000_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1001 _lk",0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"1002 _lk",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1003 _lk",0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"1004_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5
"1005 _lk",0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0
"1006 _lk",0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1007 _lk",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"1008 _lk",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1009_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"101_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1010_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"1011 _lk",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1012_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
"1013_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1014_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1015_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1016_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
"1017_lsk",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
"1018_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"1019_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"102 _lk",0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
"1020_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
"1021_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1022_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1023 _lk",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1024_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1025 _lk",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"1026_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1027_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"1028_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1029_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5
"103 _lk",0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"1030_lsk",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9
"1031_lsk",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2
"1032_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"1033 _lk",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1034 _lk",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1035_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1036_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1037_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"1038_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"1039_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
