"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"1",0,0,0,0,0,0,0,0,0,0,5
"2",0,0,0,0,0,0,0,0,20,0,0
"3",0,0,0,0,0,0,0,0,14,0,6
"4",0,0,0,0,0,0,0,0,0,0,2
"5",9,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,4,0,0,2
"7",0,1,0,0,0,0,0,0,0,0,1
"8",0,0,0,0,0,0,0,2,0,0,0
"9",2,0,0,0,0,0,0,0,2,0,2
"10",0,0,0,0,0,0,0,0,0,0,2
"11",0,0,0,0,0,0,0,0,1,0,14
"12",0,0,0,0,0,0,0,0,2,0,0
"13",0,0,0,0,0,0,0,0,0,0,5
"14",0,0,0,0,0,0,0,4,0,0,3
"15",0,0,0,0,0,0,0,0,0,0,2
"16",13,0,0,0,0,0,0,0,0,0,9
"17",0,0,0,0,2,0,0,0,0,0,1
"18",0,0,0,0,0,26,0,0,0,0,0
"19",0,0,0,0,0,0,0,5,0,0,13
"20",0,0,0,0,0,0,0,0,2,0,0
"21",0,0,0,0,0,0,0,0,2,0,1
"22",0,0,0,0,0,0,0,5,0,0,9
"23",0,0,0,0,0,0,0,0,0,0,2
"24",0,0,0,0,0,0,0,3,3,0,0
"25",0,0,0,0,0,0,0,0,0,0,2
"26",0,0,0,0,0,0,0,8,0,0,4
"27",0,0,0,0,0,0,0,0,0,0,2
"28",0,0,0,0,0,0,0,0,0,0,2
"29",0,0,0,0,0,0,0,0,0,0,2
"30",0,0,0,0,0,0,1,0,0,0,5
"31",0,0,0,0,0,0,0,0,0,0,6
"32",1,0,0,0,0,0,0,0,0,0,1
"33",0,0,0,0,0,0,0,0,0,0,2
"34",0,0,0,0,0,0,0,0,0,0,2
"35",0,0,0,0,0,0,0,1,0,0,6
"36",0,0,0,0,0,0,0,0,0,0,2
"37",17,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,9
"39",0,0,0,0,0,0,0,7,1,0,10
"40",0,0,0,0,0,0,0,0,1,0,4
"41",0,0,0,0,0,0,0,0,0,0,3
"42",0,0,0,0,0,0,0,0,0,4,0
"43",0,0,0,0,0,0,0,0,0,0,6
"44",1,0,0,0,0,0,0,0,0,0,7
"45",0,0,0,0,0,0,0,0,0,0,5
"46",0,0,0,0,0,0,0,4,0,0,6
"47",0,0,0,0,0,0,0,0,0,0,3
"48",10,0,0,0,0,0,0,0,0,0,1
"49",0,0,0,0,0,0,0,0,3,0,0
"50",0,0,0,0,0,0,0,7,0,0,5
"51",0,0,0,0,0,0,0,0,4,0,2
"52",0,0,0,0,0,0,0,0,3,0,3
"53",0,0,0,0,0,0,0,0,12,0,9
"54",11,0,0,0,0,0,0,0,0,0,1
"55",0,0,0,0,0,0,0,8,0,0,7
"56",0,0,0,0,0,0,0,0,2,0,0
"57",0,0,0,0,0,0,0,2,13,0,3
"58",0,0,0,0,0,0,0,0,0,0,7
"59",3,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,2,0,0,1
"61",0,0,0,0,0,0,0,0,0,0,11
"62",2,0,0,0,0,0,0,0,0,0,1
"63",0,0,0,0,0,0,0,0,0,0,4
"64",0,0,0,0,0,0,0,0,0,0,6
"65",0,0,0,0,0,0,0,0,0,0,7
"66",0,0,0,0,0,0,0,0,0,0,4
"67",0,0,0,0,0,0,2,0,0,0,3
"68",0,0,0,0,0,0,0,48,4,0,36
