"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"2",0,0,0,0,0,0,0,0,20,0,0
"3",0,0,0,0,0,0,0,0,14,0,6
"5",9,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,2,0,0,0
"9",2,0,0,0,0,0,0,0,2,0,2
"12",0,0,0,0,0,0,0,0,2,0,0
"14",0,0,0,0,0,0,0,4,0,0,3
"15",0,0,0,0,0,0,0,0,0,0,2
"20",0,0,0,0,0,0,0,0,2,0,0
"21",0,0,0,0,0,0,0,0,2,0,1
"27",0,0,0,0,0,0,0,0,0,0,2
"32",1,0,0,0,0,0,0,0,0,0,1
"37",17,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,4,0
"48",10,0,0,0,0,0,0,0,0,0,1
"49",0,0,0,0,0,0,0,0,3,0,0
"53",0,0,0,0,0,0,0,0,12,0,9
"57",0,0,0,0,0,0,0,2,13,0,3
"59",3,0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,2,0,0,0,3
"68",0,0,0,0,0,0,0,48,4,0,36
"70",65,0,0,0,0,1,0,2,1,0,2
"72",0,0,0,0,0,0,0,2,0,0,1
"74",2,0,1,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0,3
"81",0,0,0,0,0,0,0,3,0,0,8
"83",0,0,0,0,0,0,0,0,9,0,1
"85",42,0,0,0,0,0,0,0,0,0,3
"88",0,0,0,0,0,0,0,0,2,0,0
"90",0,0,0,0,0,2,0,0,0,0,0
"96",0,0,0,0,0,0,0,2,0,0,0
"100",0,0,0,0,0,1,0,2,0,0,22
"102",0,0,0,0,0,0,0,0,9,0,1
"103",0,0,0,2,0,0,0,0,0,0,3
"104",0,0,0,0,0,0,0,0,0,0,2
"105",0,0,0,0,0,0,0,0,2,0,2
"106",3,0,0,0,0,0,0,0,0,0,1
"109",0,0,0,0,0,0,0,4,0,0,0
"110",0,0,0,0,0,0,0,2,0,0,0
"113",3,0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,1,0,2
"118",0,0,0,0,0,0,2,0,0,0,0
"121",0,0,0,0,0,0,0,0,0,0,21
"122",0,0,0,0,0,0,0,2,0,0,3
"124",0,0,0,0,0,0,0,0,0,0,1
"125",0,0,0,0,0,0,0,0,3,0,4
"126",0,0,0,0,0,0,0,0,17,0,6
"127",0,0,0,0,0,0,0,2,0,0,1
"133",0,0,0,0,0,0,0,6,0,0,4
"134",1,0,0,0,0,0,0,0,0,0,1
"145",0,0,0,0,0,0,0,0,0,0,2
"148",0,0,0,0,0,0,0,0,11,0,0
"149",0,0,0,0,0,0,0,0,4,0,0
"153",0,0,0,0,0,0,0,2,3,0,2
"154",0,0,0,0,0,5,1,0,0,0,0
"161",0,0,0,0,0,0,1,0,0,0,1
"164",0,0,0,0,0,0,0,12,15,0,17
"165",0,0,0,0,0,0,0,0,2,0,0
"166",0,0,0,0,0,0,0,2,0,0,0
"169",0,0,0,0,0,0,0,16,0,0,4
"170",0,0,0,0,0,0,0,0,0,0,2
"174",0,0,0,0,0,0,0,0,0,0,2
"176",0,0,0,0,0,0,2,0,0,0,0
"177",0,0,0,0,0,0,0,0,0,0,6
"186",0,0,0,0,0,0,0,0,1,0,2
"187",0,0,0,0,0,0,0,3,0,0,0
"191",0,0,0,0,0,0,0,0,6,0,2
"193",0,0,0,0,0,0,0,0,0,0,4
"194",0,0,0,0,0,0,0,0,2,0,0
"210",0,0,0,0,0,0,0,3,0,0,0
"211",0,0,0,0,0,0,0,34,0,0,3
"214",0,0,0,0,0,0,9,0,0,0,1
"218",4,0,0,0,0,0,0,0,0,0,0
"221",0,0,0,0,0,0,0,0,0,0,6
"222",0,0,0,0,0,0,0,5,1,0,1
"223",0,0,0,0,0,0,0,2,0,0,0
"227",0,0,0,0,0,0,0,0,0,0,2
"229",0,0,0,2,0,0,0,0,0,0,4
"230",2,0,0,0,0,0,0,0,0,0,0
"231",0,0,0,0,0,0,0,0,3,0,0
"234",0,0,0,0,0,0,3,0,0,0,2
"239",0,0,0,2,0,0,0,0,0,0,10
"241",0,0,1,0,0,0,0,0,1,0,1
"246",0,0,0,0,0,0,1,0,0,0,7
"248",0,0,0,0,0,0,3,0,0,0,0
"253",0,0,0,0,0,0,0,3,0,0,2
"254",0,0,0,0,0,0,0,0,2,0,0
"255",0,0,0,0,0,0,0,0,6,0,0
"257",0,0,0,0,0,0,0,0,1,0,1
"258",0,0,0,0,0,0,0,0,2,0,0
"261",0,0,0,0,0,0,0,2,0,0,1
"265",0,0,0,0,0,0,0,1,0,0,1
"271",2,0,0,0,0,0,0,0,0,0,0
"272",7,0,1,0,0,7,0,0,0,0,6
"274",0,0,0,0,0,0,0,3,0,0,3
"275",0,0,0,0,0,0,0,0,0,0,3
"281",0,0,0,0,0,0,0,2,0,0,0
"282",8,0,0,0,0,0,0,0,0,0,0
"283",0,0,0,0,0,0,0,2,0,0,1
"284",6,0,0,0,0,0,0,0,1,0,9
"285",4,0,5,0,0,0,0,0,0,0,3
"286",0,0,0,0,0,0,0,0,30,0,0
"289",8,0,0,0,0,0,0,0,0,0,0
"293",0,1,0,0,0,1,0,90,15,0,27
"299",1,0,0,0,0,0,0,0,1,0,1
"300",0,0,0,0,0,0,0,3,0,0,2
"301",1,0,0,0,0,0,0,0,11,0,0
"302",0,0,0,0,0,0,0,5,31,0,2
"309",0,0,0,0,0,0,0,9,0,0,13
"312",0,0,0,0,0,0,0,0,6,0,2
"317",0,0,0,0,0,0,0,0,2,0,0
"319",0,0,0,0,0,0,0,0,0,0,2
"322",0,0,0,0,0,1,0,0,0,0,2
"324",0,2,0,0,0,0,0,0,0,0,1
"326",1,0,0,0,0,39,0,0,0,0,1
"327",0,0,0,0,0,0,0,3,0,0,1
"329",0,0,0,0,0,0,0,1,0,0,1
"332",0,0,0,0,0,0,0,0,0,0,1
"333",4,0,0,0,0,0,0,0,0,0,0
"334",0,0,0,0,0,0,0,6,1,0,10
"336",0,0,0,0,0,0,0,1,1,0,0
"337",0,0,0,0,0,0,0,25,0,0,3
"339",0,0,0,0,0,0,0,0,10,0,2
"341",42,0,1,0,0,1,0,0,0,0,2
"344",0,0,0,0,0,0,0,14,0,0,3
"347",11,0,10,0,0,0,0,0,10,0,15
"350",0,0,1,0,0,0,0,0,0,0,1
"351",0,0,0,0,0,0,0,0,2,0,0
"352",0,0,0,0,0,0,2,0,0,0,1
"353",0,0,0,0,0,0,5,0,0,0,13
"354",3,0,0,0,0,0,0,0,0,0,0
"355",0,0,0,0,0,0,0,8,1,0,2
"357",0,0,0,0,0,0,0,0,6,0,0
"359",0,0,0,0,0,0,0,0,0,0,28
"364",4,0,0,0,0,0,0,0,0,0,4
"369",0,0,0,0,0,0,0,0,6,0,0
"372",0,0,0,0,0,0,0,0,3,0,0
"375",0,0,0,0,0,0,0,0,19,0,6
"378",0,0,0,0,0,0,0,0,0,0,2
"391",0,0,0,0,0,0,0,1,0,0,1
"392",0,0,0,0,0,0,0,0,0,0,10
"393",0,0,0,0,0,0,0,0,12,0,1
"395",0,0,0,0,0,0,0,33,1,0,14
"399",0,0,0,0,0,0,11,0,1,0,16
"403",0,0,0,0,0,0,0,0,0,0,4
"404",0,0,0,0,0,0,0,3,0,0,2
"406",0,0,0,0,0,0,0,26,2,0,17
"408",0,0,0,0,0,0,0,0,20,0,10
"409",0,0,0,0,0,0,1,0,0,0,2
"411",0,0,0,0,0,0,0,0,0,0,2
"413",0,0,0,1,0,6,0,0,0,0,2
"416",0,0,0,0,0,0,0,6,29,0,15
"418",0,0,0,0,0,0,0,10,28,0,18
"421",1,0,0,0,0,0,0,0,0,0,1
"426",2,0,0,0,0,0,0,0,0,0,0
"427",1,0,0,0,0,0,0,0,0,0,1
"428",14,0,0,0,0,0,0,0,0,0,2
"432",0,0,0,0,0,0,0,0,6,0,1
"435",0,0,0,0,0,0,0,4,0,0,1
"438",0,0,0,0,0,0,0,0,3,0,3
"451",0,0,0,0,0,0,0,2,0,0,0
"454",0,0,0,0,0,0,0,0,0,3,12
"455",0,0,0,0,0,0,0,3,0,0,0
"457",0,0,0,0,0,0,0,2,0,0,1
"460",0,0,0,0,0,0,2,0,0,0,0
"462",0,0,0,0,0,0,0,0,2,0,0
"465",0,0,0,0,0,2,0,0,0,0,4
"466",0,0,0,0,0,0,0,0,0,0,3
"468",0,0,0,0,0,0,0,0,3,0,0
"469",2,0,0,0,0,0,0,0,0,0,1
"473",0,0,0,0,0,0,0,0,0,0,2
"474",0,0,0,0,0,0,0,0,2,0,0
"476",0,0,0,0,0,0,0,0,7,0,4
"477",0,0,0,0,0,0,0,2,0,0,0
"482",0,0,0,0,0,0,0,0,0,0,2
"483",0,0,0,0,0,0,0,1,1,0,4
"484",0,0,0,0,0,0,0,0,4,0,0
"485",0,0,0,0,0,0,0,0,0,0,2
"490",0,0,0,0,0,0,0,2,0,0,1
"492",0,0,0,0,0,0,2,0,0,0,0
"493",0,0,0,0,0,0,0,0,4,0,0
"496",0,0,0,0,0,0,0,1,0,0,1
"498",0,0,0,0,0,0,0,0,3,0,1
"500",0,0,0,0,0,0,0,0,0,0,2
"503",0,0,0,0,0,0,1,0,0,0,1
"504",0,0,0,0,0,0,0,0,2,0,2
"506",0,0,0,1,0,1,1,1,0,0,2
"508",0,0,0,0,0,0,0,0,0,0,2
"510",0,0,0,0,0,0,5,0,0,0,8
"511",0,0,0,0,0,0,0,0,43,0,1
"512",3,0,0,0,0,0,0,0,0,0,0
"513",0,0,0,0,0,0,0,0,5,0,0
"517",15,0,0,0,0,0,0,0,0,0,0
"519",0,0,0,0,0,0,0,0,2,0,1
"523",0,0,0,0,0,0,0,0,14,0,3
"524",0,0,0,1,0,0,1,0,0,0,0
"525",0,0,0,0,0,0,0,0,2,0,2
"527",1,0,0,0,0,0,0,0,0,0,1
"530",0,0,0,0,0,0,0,28,0,0,28
"536",0,0,0,0,0,0,0,0,1,0,2
"538",0,0,0,1,0,0,0,0,0,0,4
"544",0,0,0,0,0,0,0,0,3,0,0
"545",0,0,0,1,0,0,7,0,0,0,8
"548",6,0,0,0,0,0,0,0,0,0,0
"549",0,0,0,0,0,0,0,1,2,0,2
"556",3,0,0,0,0,0,0,0,0,0,0
"562",0,0,0,2,0,0,0,0,0,0,0
"563",0,0,0,0,0,0,0,1,0,0,2
"564",0,0,0,0,0,0,0,0,2,0,0
"567",0,0,0,0,0,0,0,0,2,0,0
"569",0,0,0,0,0,0,0,0,0,0,3
"571",12,0,0,0,0,0,0,0,0,0,3
"572",0,0,0,0,0,0,0,1,0,0,2
"573",0,0,0,0,0,0,0,0,0,0,2
"574",0,0,0,0,0,0,0,0,0,0,15
"577",0,0,0,0,0,2,0,0,0,0,0
"578",0,0,0,0,0,0,0,0,0,0,3
"581",0,0,0,0,0,0,0,0,1,0,1
"583",1,0,0,0,0,0,0,0,0,0,0
"589",0,0,0,0,0,0,0,0,3,0,0
"591",0,0,0,0,0,0,0,3,2,0,5
"592",0,0,0,0,0,0,0,20,3,0,14
"593",0,0,0,0,0,0,1,0,0,0,1
"594",0,0,0,0,0,0,0,4,2,0,3
"595",0,0,0,0,0,0,0,0,0,0,2
"597",0,0,0,0,0,0,0,0,0,0,2
"599",0,0,0,0,0,0,0,0,2,0,2
"603",0,0,0,0,0,0,0,0,0,0,2
"610",17,0,0,0,0,0,0,0,0,0,2
"615",0,0,0,0,0,0,0,0,6,0,1
"616",0,0,0,0,0,0,0,0,1,0,1
"617",0,0,0,0,0,0,0,0,0,0,2
